id,priority,area,scenario,expected_result,required_evidence,result,evidence_reference
SRC-01,P0,Bron,Nieuwe homepagebron aanwezig,Commit en assets van afgesproken ontwerpversie bevestigd,Git/assetmanifest,pass,package-verifier + local:e2e
SRC-02,P0,Bron,Geen demoauth in productie,Code 311026 en rollenknop werken niet in productie,Buildinspectie + E2E,pass,source inspection + local:e2e
SRC-03,P0,Bron,Geen voorbeelddeelnemers in productie,Productieseed bevat geen fictieve accounts of betaalde inschrijvingen,Seedinspectie + DB,pass,remote deploy excludes seed; source inspection
SRC-04,P1,Bron,Alle bestaande routes overgenomen,Publieke en portaalroutes werken of hebben passende redirect,E2E routematrix,pass,local:e2e + production build
AUTH-01,P0,Auth,Echte OTP ontvangen en gebruikt,SendGrid-mail ontvangen en Supabase-sessie geverifieerd,Echte stagingmail + E2E,pass,workflow:staging 35806175214 real mailbox OTP received and verified by Supabase Auth
AUTH-02,P0,Auth,Verkeerde/verlopen OTP,Geen sessie en herstelbare foutmelding,Auth-integratietest,pass,local:auth rejects wrong token and deploy config verifies 600 second expiry
AUTH-03,P0,Auth,Code hergebruiken,Eenmaligheid volgens providerbeleid gerespecteerd,Auth-integratietest,pass,local:auth consumed token replay rejected
AUTH-04,P0,Auth,Resendlimiet en spam,Serverlimiet en zichtbare cooldown; geen onbeperkte verzending,Rate-limit-test,pass,local:auth immediate resend rate limited + OTP UI cooldown
AUTH-05,P0,Auth,Valse sessiecookie,Beschermde data blijft onbereikbaar,Negatieve serverauthtest,pass,local:auth forged bearer 401 + authenticated browser forged cookie redirect
AUTH-06,P0,Auth,Gebruiker past eigen metadata naar admin aan,Geen extra capability of inzage,DB/API autorisatietest,pass,local:db-010 forged metadata has no capability or admin projection
AUTH-07,P0,Auth,Account kan open ouderregistratie doen,Accountaanmaak toegestaan maar geen admin/leiderrechten,E2E signup,pass,local:auth new OTP account saves own draft + capability boundaries
AUTH-08,P0,Auth,Uitnodiging voor ander emailadres,Acceptatie geweigerd zonder passend geverifieerd adres,Integratietest,pass,local:db-006 recipient mismatch
AUTH-09,P0,Auth,Ingetrokken/verlopen uitnodiging,Geen gezinstoegang of roltoekenning,Integratietest,pass,local:db-006 revoked and expired tokens
AUTH-10,P1,Auth,Refresh en sessieverlenging,Juiste gebruiker blijft ingelogd; cookies correct doorgegeven,E2E refresh,pass,local:auth refresh preserves verified identity
AUTH-11,P0,Auth,Logout en accountwissel,Privécache en realtimecontext van vorige gebruiker gewist,Browser/IndexedDB inspectie,pass,local:auth logout and account switch + local:unit private cache purge
AUTH-12,P0,Auth,Bootstrap admin,Alleen geconfigureerde geverifieerde account krijgt capability,CLI/DB test,pass,local:db-004
REG-01,P1,Registratie,Wizard met meerdere kinderen,Alle kindrecords en contactgegevens persistent,E2E + DB,pass,local:authenticated-e2e two-child submit + local:db-011
REG-02,P1,Registratie,Refresh halverwege wizard,Concept wordt hervat zonder dataverlies,E2E,pass,local:authenticated-e2e server draft survives refresh
REG-03,P0,Registratie,Bedrag client manipuleren,Server berekent aantal maal actuele prijs in centen,API test,pass,local:db-011 authoritative child count and event price
REG-04,P0,Registratie,Twee submits tegelijk,Eén inschrijving en één logisch betaalverzoek/mailtaak,Parallelle integratietest,pass,local:concurrency simultaneous registration submit
REG-05,P0,Registratie,Kind van ander gezin toevoegen,Geweigerd ook bij bekende UUID,RLS/API test,pass,local:db-011 foreign UUID ignored and owned child records created
REG-06,P1,Registratie,Wijzigen na deadline,Alleen verzoek/correctieproces; geen stille wijziging,Tijdgestuurde test,pass,local:db-019 expired deadline request leaves registration unchanged + authenticated UI request
REG-07,P1,Registratie,Kind verwijderen na betaling,Revisie en expliciete financiële correctie; historiek behouden,DB/E2E,pass,local:db-019 removal revision and refund_due preserve ledger
REG-08,P1,Registratie,Voorwaarden en marketing,Versie/tijd vastgelegd; marketing niet vooraf aangevinkt,E2E + DB,pass,local:authenticated-e2e explicit terms + local:db-011 consent snapshot
REG-09,P1,Registratie,Annuleren,Status en financieel vervolg consistent; geen dataverlies,Domeintest,pass,local:db-019 cancellation revision assignment history and refund_due
FAM-01,P0,Gezin,Samenloopcode gebruiken,Samenlooplidmaatschap zonder gezinsrechten van anderen,RLS/API test,pass,local:db-010 party membership without cross-household access
FAM-02,P1,Gezin,Samenloopgezelschap verlaten,Eigen voorkeur aangepast; anderen intact,E2E,pass,local:db-010 + dashboard leave action
FAM-03,P0,Gezin,Tweede gezinsvolwassene intrekken,Nieuwe verzoeken verliezen direct inzage/mutatierecht,API met bestaande sessie,pass,local:db-006 active session projection revoked
FAM-04,P1,Gezin,Samenloopcluster te groot,Conflict zichtbaar; geen stille splitsing/overboeking,Plannerfixture,pass,local:unit route-planner oversized together bundle
PAY-01,P0,Betaling,Tikkie-link klikken,Betaalstatus blijft open tot controle,E2E + DB,pass,local:db-017 exact Tikkie link stays awaiting_payment + parent UI
PAY-02,P0,Betaling,Ouder meldt betaald,Alleen reported; geen confirmed,API autorisatietest,pass,local:db-008 own household remains reported
PAY-03,P0,Betaling,Organisatie bevestigt bedrag,Bevoegdheid plus ledger/audit; één effect bij retry,Integratietest,pass,local:db-008 capability version idempotency ledger
PAY-04,P1,Betaling,Verlopen/ontbrekende link,Betaallink volgt/herstelactie; geen verzonnen URL,E2E,pass,local:db-017 + parent and admin UI never synthesize payment URL
PAY-05,P1,Betaling,Deelbetaling/overbetaling,Afwijking zichtbaar en gecontroleerde correctie,Domeintest,pass,local:db-008 partial ledger projection
PAY-06,P0,Betaling,Terugbetaling registreren,Geen claim dat Tikkie automatisch geld terugstuurt,UI/API review,pass,local:db-006 append-only external refund ledger
HOUSE-01,P1,Huizen,Onvoltooide huiswizard bewaren,Adres/vensters/flags persistent vóór portal bestaat,E2E + DB,pass,local:authenticated-e2e complete private draft survives refresh + local:db-015
HOUSE-02,P0,Huizen,Dubbele goedkeuring,Exact één portal plus eigenaar en publicatiegegevens,Parallelle integratietest,pass,local:concurrency simultaneous approval
HOUSE-03,P0,Huizen,Bewoner wijzigt ander huis,Geweigerd zonder privédata te lekken,RLS/API test,pass,local:db-010 unrelated parent receives NOT_AUTHORIZED
HOUSE-04,P1,Huizen,Locatie nog niet gecontroleerd,Niet publiceerbaar in echte route,Planner/API test,pass,local:db-015 location verification gate
HOUSE-05,P0,Huizen,Exact adres niet openbaar toegestaan,Geen exacte marker/adres in publieke projectie,Netwerk + kaartinspectie,pass,local:e2e public map
HOUSE-06,P1,Huizen,Ongeldig bestand uploaden,MIME/grootte/inhoud afgewezen; geen executable public content,Uploadtest,pass,local:unit signature size MIME + authenticated upload E2E + local:db-010 no direct writes
HOUSE-07,P0,Huizen,QR intrekken en vervangen,Oud token ongeldig; nieuw alleen bevoegde download,Scan/storage test,pass,local:db-006 + production build QR download UI
HOUSE-08,P1,Huizen,Bewonerdashboard,Eigen groepen als code/aantallen; geen namen kinderen,Snapshotcontract,pass,local:db-004
PLAN-01,P1,Planning,Identieke input en seed,Identiek voorstel en reproduceerbare score,Unit/integratietest,pass,local:unit route-planner
PLAN-02,P0,Planning,Gezin past niet meer,Geen deelsplit zonder expliciete beleidswijziging,Plannerfixture,pass,local:unit route-planner
PLAN-03,P0,Planning,Poortcapaciteit overschreden,Voorstel conflict; publicatie geweigerd,Interval/capaciteitstest,pass,local:unit overlap planner + local:db-014 server interval invariant
PLAN-04,P0,Planning,Geen veilige verbinding,Geen rechte lijn als echte looproute gepubliceerd,Plannerfixture,pass,local:db-014 closed graph edge blocks storage and publication
PLAN-05,P1,Planning,Startvoorkeur niet haalbaar,Alternatief/conflict zichtbaar; geen valse bevestiging,Plannerfixture,pass,local:unit route-planner
PLAN-06,P0,Planning,Twee admins laatste groepsplaats,Eén geldige plaatsing; andere conflict,Parallelle DB test,pass,local:concurrency planning capacity contention
